Gene_Id,Gene_Symbol,Gene_Description,Disease_Id,DiseaseName,PsychiatricDisorder,diseaseId,name,type,diseaseClassMSH,diseaseClassNameMSH,hpoClassId,hpoClassName,doClassId,doClassName,umlsSemanticTypeId,umlsSemanticTypeName,Approved symbol,HGNC ID,Approved name,NCBI gene ID,Ensembl gene ID,GENE,TARGET_NAME,TARGET_CLASS,SWISSPROT,ACT_VALUE,ACT_TYPE,ACT_SOURCE
1312,COMT,catechol-O-methyltransferase,C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,COMT,HGNC:2228,catechol-O-methyltransferase,1312,ENSG00000093010,COMT,Catechol O-methyltransferase,Enzyme,COMT_HUMAN,4.85,IC50,WOMBAT-PK
267012,DAOA,D-amino acid oxidase activator,C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,DAOA,HGNC:21191,D-amino acid oxidase activator,267012,ENSG00000182346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3240,HP,haptoglobin,C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,HP,HGNC:5141,haptoglobin,3240,ENSG00000257017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3557,IL1RN,interleukin 1 receptor antagonist,C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,IL1RN,HGNC:6000,interleukin 1 receptor antagonist,3557,ENSG00000136689,IL1RN,Interleukin-1 receptor antagonist protein,Unclassified,IL1RA_HUMAN,11.21467018,Kd,DRUG LABEL
4524,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,MTHFR,HGNC:7436,methylenetetrahydrofolate reductase,4524,ENSG00000177000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6532,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4",C0001723,"affective disorders, psychotic",Depressive disorders,C0001723,"Affective Disorders, Psychotic",group,F03,Mental Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,SLC6A4,HGNC:11050,solute carrier family 6 member 4,6532,ENSG00000108576,SLC6A4,Sodium-dependent serotonin transporter,Transporter,SC6A4_HUMAN,5.744245213,Ki,DRUG MATRIX
127,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",C0001956,alcohol use disorder,Alcohol use disorders,C0001956,Alcohol Use Disorder,disease,F03;C25,Mental Disorders; Substance-Related Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,ADH4,HGNC:252,"alcohol dehydrogenase 4 (class II), pi polypeptide",127,ENSG00000198099,ADH4,Alcohol dehydrogenase 4,Enzyme,ADH4_HUMAN,5.523,Ki,WOMBAT-PK
9531,BAG3,BCL2-associated athanogene 3,C0001956,alcohol use disorder,Alcohol use disorders,C0001956,Alcohol Use Disorder,disease,F03;C25,Mental Disorders; Substance-Related Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,BAG3,HGNC:939,BAG cochaperone 3,9531,ENSG00000151929,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2067,ERCC1,excision repair cross-complementation group 1,C0001956,alcohol use disorder,Alcohol use disorders,C0001956,Alcohol Use Disorder,disease,F03;C25,Mental Disorders; Substance-Related Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,ERCC1,HGNC:3433,"ERCC excision repair 1, endonuclease non-catalytic subunit",2067,ENSG00000012061,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3359,HTR3A,"5-hydroxytryptamine (serotonin) receptor 3A, ionotropic",C0001956,alcohol use disorder,Alcohol use disorders,C0001956,Alcohol Use Disorder,disease,F03;C25,Mental Disorders; Substance-Related Disorders,0,0,DOID:150,disease of mental health,T048,Mental or Behavioral Dysfunction,HTR3A,HGNC:5297,5-hydroxytryptamine receptor 3A,3359,ENSG00000166736,HTR3A,5-hydroxytryptamine receptor 3A,Ion channel,5HT3A_HUMAN,0,0,WOMBAT-PK
