,Gene_Id,Gene_Symbol,Gene_Description,Disease_Id,DiseaseName,PsychiatricDisorder,type,diseaseClassMSH,diseaseClassNameMSH,doClassId,doClassName,umlsSemanticTypeId,umlsSemanticTypeName,HGNC ID,Ensembl gene ID
0,1312,COMT,CATECHOL-O-METHYLTRANSFERASE,C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:2228,ENSG00000093010
1,267012,DAOA,D-AMINO ACID OXIDASE ACTIVATOR,C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:21191,ENSG00000182346
2,3240,HP,HAPTOGLOBIN,C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:5141,ENSG00000257017
3,3557,IL1RN,INTERLEUKIN 1 RECEPTOR ANTAGONIST,C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:6000,ENSG00000136689
4,4524,MTHFR,METHYLENETETRAHYDROFOLATE REDUCTASE (NAD(P)H),C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:7436,ENSG00000177000
5,6532,SLC6A4,"SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER), MEMBER 4",C0001723,"AFFECTIVE DISORDERS, PSYCHOTIC",DEPRESSIVE DISORDERS,GROUP,F03,MENTAL DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:11050,ENSG00000108576
6,127,ADH4,"ALCOHOL DEHYDROGENASE 4 (CLASS II), PI POLYPEPTIDE",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:252,ENSG00000198099
7,9531,BAG3,BCL2-ASSOCIATED ATHANOGENE 3,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:939,ENSG00000151929
8,2067,ERCC1,EXCISION REPAIR CROSS-COMPLEMENTATION GROUP 1,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:3433,ENSG00000012061
9,3359,HTR3A,"5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 3A, IONOTROPIC",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:5297,ENSG00000166736
10,3360,HTR4,"5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 4, G PROTEIN-COUPLED",C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:5299,ENSG00000164270
11,4174,MCM5,MINICHROMOSOME MAINTENANCE COMPLEX COMPONENT 5,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:6948,ENSG00000100297
12,406938,MIR146A,MICRORNA 146A,C0001956,ALCOHOL USE DISORDER,ALCOHOL USE DISORDERS,DISEASE,F03;C25,MENTAL DISORDERS; SUBSTANCE-RELATED DISORDERS,DOID:150,DISEASE OF MENTAL HEALTH,T048,MENTAL OR BEHAVIORAL DYSFUNCTION,HGNC:31533,ENSG00000283733
